,v1,taxon_v1,v2,taxon_v2,rel
0,apple,malus domestica,chives,allium schoenoprasum,companion
12,apple,malus domestica,garlic,allium sativum,companion
24,apple,malus domestica,grass,poaceae,antagonistic
48,apple,malus domestica,horseradish,armoracia rusticana,companion
60,apple,malus domestica,lemon balm,melissa officinalis,companion
72,apple,malus domestica,marigold,tagetes,companion
78,apple,malus domestica,mustard,brassica,companion
84,apple,malus domestica,nasturtium,nasturtium,companion
96,apple,malus domestica,potato,solanum tuberosum,antagonistic
108,apple,malus domestica,spinach,spinacia oleracea,companion
114,apple,malus domestica,tansy,tanacetum vulgare,companion
120,apple,malus domestica,yarrow,achillea millefolium,companion
132,apricot,prunus armeniaca,basil,ocimum basilicum,companion
146,apricot,prunus armeniaca,garlic,allium sativum,companion
160,apricot,prunus armeniaca,grass,poaceae,antagonistic
188,apricot,prunus armeniaca,horseradish,armoracia rusticana,companion
202,apricot,prunus armeniaca,lemon balm,melissa officinalis,companion
216,apricot,prunus armeniaca,marigold,tagetes,companion
223,apricot,prunus armeniaca,mustard,brassica,companion
230,apricot,prunus armeniaca,nasturtium,nasturtium,companion
244,apricot,prunus armeniaca,spinach,spinacia oleracea,companion
251,apricot,prunus armeniaca,sunﬂower,helianthus annuus,companion
272,apricot,prunus armeniaca,tansy,tanacetum vulgare,companion
279,apricot,prunus armeniaca,tomato,solanum lycopersicum,antagonistic
293,apricot,prunus armeniaca,yarrow,achillea millefolium,companion
307,asparagus,asparagus officinalis,basil,ocimum basilicum,companion
311,asparagus,asparagus officinalis,chives,allium schoenoprasum,companion
315,asparagus,asparagus officinalis,marjoram,origanum majorana,companion
319,asparagus,asparagus officinalis,parsley,petroselinum crispum,companion
329,asparagus,asparagus officinalis,tomato,solanum lycopersicum,companion
333,basil,ocimum basilicum,apricot,prunus armeniaca,companion
347,basil,ocimum basilicum,asparagus,asparagus officinalis,companion
351,basil,ocimum basilicum,cucumber,cucumis sativus,companion
