"","codeid","fullname","eppocode"
"1",21893,"Arisarum simorrhinum","AAUVS"
"2",21894,"Arisarum vulgare","AAUVU"
"3",21916,"Abelia triflora","ABETR"
"4",22027,"Abelmoschus moschatus","ABMMO"
"5",22082,"Acacia aneura","ACAAN"
"6",22375,"Acer x bornmuelleri","ACRBO"
"7",22378,"Acer campestre","ACRCA"
"8",22382,"Acer caesium","ACRCE"
"9",22385,"Acer caesium subsp. giraldii","ACRCI"
"10",22507,"Acer x zoeschense","ACRZO"
"11",22542,"Ardisia crispa","ADACR"
"12",23016,"Ailanthus altissima","AILAL"
"13",23049,"Ajuga reptans","AIURE"
"14",23064,"Aspidistra elatior","AJDEL"
"15",23099,"Akebia trifoliata","AKETF"
"16",23457,"Ampelopsis humulifolia","AMCHU"
"17",23555,"Amsinckia lycopsoides","AMSLY"
"18",23565,"Amorphophallus rivieri","AMURI"
"19",23589,"Anchusa azurea","ANCIT"
"20",23590,"Anchusa officinalis","ANCOF"
"21",23830,"Anthoxanthum odoratum","AOXOD"
"22",23831,"Anthoxanthum aristatum","AOXPU"
"23",24090,"Aralia nudicaulis","ARLNU"
"24",24274,"Astragalus gummifer","ASAGU"
"25",24350,"Asperula tinctoria","ASETI"
"26",24358,"Asphodelus albus","ASHAL"
"27",24359,"Asphodelus fistulosus","ASHFI"
"28",24360,"Asphodelus microcarpus","ASHMI"
"29",24441,"Aster scaber","ASTSC"
"30",24714,"Amyema pendulum","AYMPE"
"31",24779,"Baccharis pilularis subsp. consanguinea","BACPC"
"32",24781,"Baccharis pilularis","BACPI"
"33",24889,"Barbarea verna","BARVE"
"34",25104,"Berberis x ottawensis","BEBOT"
"35",25141,"Berberis thunbergii","BEBTH"
"36",25165,"Beckmannia syzigachne","BECSY"
"37",25166,"Berberidopsis corallina","BEDCO"
"38",25547,"Boehmeria longispica","BOHLO"
"39",25674,"Brodiaea coronaria","BRDCO"
"40",25704,"Broussonetia papyrifera","BRNPA"
"41",25732,"Bromus marginatus","BROMG"
"42",25820,"Brassica tournefortii","BRSTO"
"43",25964,"Bunias orientalis","BUNOR"
"44",26042,"Bryonia alba","BYOAL"
"45",26126,"Cakile edentula","CAKED"
"46",26418,"Cochlearia officinalis","CCLOF"
"47",26445,"Cercis siliquastrum","CCSSI"
"48",26844,"Chenopodium ambiguum","CHEAG"
"49",26850,"Chenopodium album var. centrorubrum","CHEAR"
"50",26861,"Blitum capitatum","CHECA"
"51",26866,"Chenopodium ficifolium","CHEFI"
"52",26867,"Blitum virgatum","CHEFO"
"53",26868,"Chenopodium giganteum","CHEGI"
"54",26880,"Chenopodium missouriense","CHEMI"
"55",27006,"Leucanthemum maximum","CHYMA"
"56",27007,"Leucanthemum x superbum","CHYMH"
"57",27023,"Tanacetum vulgare","CHYVU"
"58",27151,"Carpinus caroliniana","CIPCA"
"59",27152,"Carpinus cordata","CIPCO"
"60",27249,"Cibotium barometz","CJBBA"
"61",27253,"Citroncirus webberi","CJCWE"
"62",27343,"Cleyera japonica","CKYJA"
"63",27358,"Calendula arvensis","CLDAR"
"64",27359,"Calendula officinalis","CLDOF"
"65",27411,"Callicarpa mollis","CLIMO"
"66",27421,"Cladium mariscus subsp. jamaicense","CLKJA"
"67",27422,"Cladium mariscus","CLKMA"
"68",27424,"Centella asiatica","CLLAS"
"69",27495,"Clematis buchananiana","CLVBU"
"70",27550,"Clematis orientalis","CLVOR"
"71",27687,"Campanula lactiflora","CMPLA"
"72",27695,"Campanula pyramidalis","CMPPY"
"73",27696,"Campanula rapunculoides","CMPRA"
"74",27697,"Campanula rotundifolia","CMPRO"
"75",27698,"Campanula rapunculus","CMPRP"
"76",27842,"Choisya ternata","COATE"
"77",27961,"Convolvulus arvensis","CONAR"
"78",28144,"Capsicum baccatum","CPSBA"
"79",28145,"Capsicum baccatum var. pendulum","CPSBP"
"80",28147,"Capsicum frutescens var. baccatum","CPSFB"
"81",28148,"Capsicum frutescens var. cerasiforme","CPSFC"
"82",28149,"Capsicum frutescens","CPSFR"
"83",28195,"Correa alba","CQRAL"
"84",28339,"Coriaria terminalis","CRRTE"
"85",28434,"Carex elata","CRXEL"
"86",28515,"Carum carvi","CRYCA"
"87",28548,"Crataegus rivularis","CSCRV"
"88",28871,"Cucurbita andreana","CUUAN"
"89",28875,"Cucurbita hybrids","CUUHY"
"90",28876,"Cucurbita maxima","CUUMA"
"91",28879,"Cucurbita maxima convar. turbaniformis","CUUMT"
"92",28910,"Cupressus sempervirens","CVBSE"
"93",29072,"Cyananthus lobatus","CWNLO"
"94",29090,"Cyrtomium falcatum","CWUFA"
"95",29166,"Colletia armata","CXTAR"
"96",29273,"Cynanchum sibiricum","CYKSI"
"97",29284,"Corylus x colurnoides","CYLCL"
"98",29286,"Corylus cornuta","CYLCR"
"99",29340,"Cyperus congensis","CYPCN"
"100",29358,"Cyperus distans","CYPDT"
"101",29513,"Chrysothamnus viscidiflorus","CYTVI"
"102",29514,"Chrysothamnus viscidiflorus var. lanceolatus","CYTVL"
"103",29515,"Chrysothamnus viscidiflorus var. stenophyllus","CYTVS"
"104",29649,"Dacrydium cupressinum","DADCU"
"105",29760,"Datura innoxia","DATIN"
"106",29764,"Datura metel","DATME"
"107",29768,"Datura stramonium var. tatula","DATSL"
"108",29770,"Datura stramonium","DATST"
"109",29981,"Desmanthus illinoensis","DEMIL"
"110",30027,"Deutzia crenata","DEZCT"
"111",30030,"Deutzia x elegantissima","DEZEL"
"112",30055,"Deutzia scabra","DEZSC"
"113",66317,"Digitaria pectiniformis","DIGPC"
"114",30156,"Digitaria sanguinalis","DIGSA"
"115",30192,"Digitalis lanata","DIKLA"
"116",30400,"Dodonaea viscosa var. angustifolia","DODAG"
"117",30406,"Dodonaea viscosa","DODVI"
"118",30457,"Diospyros lotus","DOSLO"
"119",30530,"Dracocephalum moldavica","DRAMO"
"120",30746,"Echinacea pallida","ECEPA"
"121",30766,"Echinochloa colonum","ECHCO"
"122",30808,"Echinocystis lobata","ECNLO"
"123",31031,"Elaeagnus glabra","ELGGL"
"124",31032,"Elaeagnus macrophylla","ELGMA"
"125",31033,"Elaeagnus multiflora","ELGMU"
"126",31038,"Elaeagnus umbellata","ELGUM"
"127",31177,"Emilia fosbergii","EMIFO"
"128",31180,"Emilia sonchifolia","EMISO"
"129",31294,"Ephedra torreyana","EPETO"
"130",31307,"Euphorbia antisyphilitica","EPHAN"
"131",31359,"Euphorbia helioscopia","EPHHE"
"132",31360,"Euphorbia hirta","EPHHI"
"133",31365,"Euphorbia humifusa","EPHHU"
"134",31387,"Euphorbia marginata","EPHMG"
"135",31504,"Equisetum fluviatile","EQUFL"
"136",31700,"Eriogonum longifolium","ERGLO"
"137",31720,"Erigeron philadelphicus","ERIPH"
"138",31748,"Erodium crinitum","EROCR"
"139",31752,"Erodium malacoides","EROMC"
"140",31790,"Eriophorum angustifolium","ERVAN"
"141",31879,"Erythrina humeana","ERZHU"
"142",31901,"Eschscholzia californica","ESHCA"
"143",32077,"Euonymus fortunei var. radicans","EUOFD"
"144",32079,"Euonymus fortunei","EUOFO"
"145",32088,"Euonymus latifolius","EUOLA"
"146",32101,"Euonymus planipes","EUOPL"
"147",32102,"Euonymus sachalinensis","EUOSA"
"148",32126,"Eupatorium japonicum","EUPJA"
"149",32139,"Eupatorium purpureum","EUPPU"
"150",32578,"Fallugia paradoxa","FLLPA"
"151",32656,"Fremontodendron californicum","FRMCA"
"152",32769,"Fumaria muralis","FUMMU"
"153",32770,"Fumaria officinalis","FUMOF"
"154",32820,"Gaultheria adenothrix","GAHAD"
"155",32933,"Galanthus nivalis","GAXNI"
"156",33084,"Gentiana scabra var. buergeri","GETSB"
"157",33422,"Griselinia littoralis","GRSLI"
"158",33555,"Gypsophila paniculata","GYPPA"
