"","eppocode","pests_eppocode","idclass","labelclass","fullname"
"1","AAUVS","PHYSCC",9,"Host","Phyllosticta colocasiicola (as Aroideae)"
"2","AAUVS","PHYTOO",9,"Host","Phytophthora colocasiae (as Aroideae)"
"3","AAUVS","PRATCO",9,"Host","Pratylenchus coffeae (as Aroideae)"
"4","AAUVS","PYTHMY",9,"Host","Pythium myriotylum (as Aroideae)"
"5","AAUVS","RADOSI",9,"Host","Radopholus similis (as Aroideae)"
"6","AAUVS","RADOCI",9,"Host","Radopholus similis citrus race (as Aroideae)"
"7","AAUVS","VASCXA",9,"Host","Vasculomyces xanthosomae (as Aroideae)"
"8","AAUVS","XANTDF",9,"Host","Xanthomonas axonopodis pv. dieffenbachiae (as Aroideae)"
"9","AAUVU","PHYSCC",9,"Host","Phyllosticta colocasiicola (as Aroideae)"
"10","AAUVU","PHYTOO",9,"Host","Phytophthora colocasiae (as Aroideae)"
"11","AAUVU","PRATCO",9,"Host","Pratylenchus coffeae (as Aroideae)"
"12","AAUVU","PYTHMY",9,"Host","Pythium myriotylum (as Aroideae)"
"13","AAUVU","RADOSI",9,"Host","Radopholus similis (as Aroideae)"
"14","AAUVU","RADOCI",9,"Host","Radopholus similis citrus race (as Aroideae)"
"15","AAUVU","VASCXA",9,"Host","Vasculomyces xanthosomae (as Aroideae)"
"16","AAUVU","XANTDF",9,"Host","Xanthomonas axonopodis pv. dieffenbachiae (as Aroideae)"
"17","ABETR",NA,9,"Host",NA
"18","ABMMO","PHENSO",9,"Host","Phenacoccus solenopsis"
"19","ACAAN","ANOLCN",9,"Host","Anoplophora chinensis (as Acacia)"
"20","ACAAN","AONDCI",9,"Host","Aonidiella citrina (as Acacia)"
"21","ACAAN","EUWAPE",9,"Host","Euwallacea perbrevis (as Acacia)"
"22","ACAAN","HOMOCO",9,"Host","Homona coffearia (as Acacia)"
"23","ACAAN","PLTPMU",9,"Host","Megaplatypus mutatus (as Acacia)"
"24","ACAAN","NAUPXA",9,"Host","Naupactus xanthographus (as Acacia)"
"25","ACAAN","OLIGPA",9,"Host","Oligonychus perseae (as Acacia)"
"26","ACAAN","THAUPR",9,"Host","Thaumetopoea processionea (as Acacia)"
"27","ACAAN","URCLTE",9,"Host","Uromycladium tepperianum (as Acacia)"
"28","ACAAN","XYLBCR",1,"Major host","Xylosandrus crassiusculus (as Acacia)"
"29","ACAAN","SCITAU",6,"Wild/Weed","Scirtothrips aurantii (as Acacia)"
"30","ACAAN","SCITDO",6,"Wild/Weed","Scirtothrips dorsalis (as Acacia)"
"31","ACRBO","ANOLGL",9,"Host","Anoplophora glabripennis (as Acer)"
"32","ACRBO","ENDOPA",9,"Host","Cryphonectria parasitica (as Acer)"
"33","ACRBO","CRPSCO",9,"Host","Cryptostroma corticale (as Acer)"
"34","ACRBO","HYPHCU",9,"Host","Hyphantria cunea (as Acer)"
"35","ACRBO","MALADI",9,"Host","Malacosoma disstria (as Acer)"
"36","ACRBO","MPM000",9,"Host","Maple mosaic agent (as Acer)"
